Order,Family,Genus,Current_Identification,Mass,FL_Breast,DL_Breast,PL_Breast,PDL_Breast,PPL_Breast,AD_Breast,AP_Breast,AT_Breast,PAD_Breast,PAP_Breast,FL_Back,DL_Back,PL_Back,PDL_Back,PPL_Back,AD_Back,AP_Back,AT_Back,PAD_Back,PAP_Back,FL_Head,DL_Head,PL_Head,PDL_Head,PPL_Head,AD_Head,AP_Head,AT_Head,PAD_Head,PAP_Head,Country/Continent/Ocean,State/Province,Precise_Location,Station,Longitude,Latitude,Temperature,Rainfall,Museum,Notes,Feather
Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,94,39.3,15.849,23.451,0.403282443,0.596717557,536.74,398.639,935.379,0.573820879,0.426179121,43.125,18.77,24.355,0.435246377,0.564753623,764.477,613.662,1378.139,0.554716904,0.445283096,23.721,9.59,14.131,0.404283125,0.595716875,149.984,175.45,325.434,0.460873787,0.539126213,Colombia,Cundinamarca,,,-73.8511111,4.7036111,12.2,1371,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,55.758,30.701,25.057,0.550611571,0.449388429,886.779,412.07,1298.849,0.682742182,0.317257818,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Zygia,,-76.66357994,3.445342173,17.8,2042,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,42.858,24.432,18.426,0.570068599,0.429931401,541.534,211.388,752.922,0.719243162,0.280756838,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Chicoral,LM04,-76.58,3.56,19.1,1545,Icesi,C14,"Breast, back and head"
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,40.159,23.536,16.623,0.58607037,0.41392963,511.956,205.628,717.584,0.713444001,0.286555999,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Chicoral,LM04,-76.58,3.56,19.1,1545,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,59.843,38.119,21.724,0.63698344,0.36301656,963.205,374.277,1337.482,0.720162963,0.279837037,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Chicoral,LM04,-76.58,3.56,19.1,1545,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,23.648,13.833,9.815,0.58495433,0.41504567,199.635,113.926,313.561,0.636670377,0.363329623,20.935,10.774,10.161,0.514640554,0.485359446,187.851,107.255,295.106,0.636554323,0.363445677,18.083,5,13.083,0.276502793,0.723497207,77.975,90.013,167.988,0.46417006,0.53582994,Colombia,Cundinamarca,,,-73.4440556,4.5156667,21.8,5015,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys,5,34.498,16.962,17.536,0.491680677,0.508319323,446.589,206.304,652.893,0.684015604,0.315984396,26.083,14.551,11.532,0.557872944,0.442127056,243.662,103.597,347.259,0.701672239,0.298327761,24.97,7.851,17.119,0.314417301,0.685582699,155.693,184.013,339.706,0.458316898,0.541683102,Colombia,,,,-73.4440556,4.5156667,21.8,5015,IAvH,,"Breast, back and head"
Strigiformes,Strigidae,Adelomyia,Aegolius harrisii,120,24.829,14.737,10.092,0.593539812,0.406460188,478.328,142.456,620.784,0.770522436,0.229477564,35.48,20.031,15.449,0.56457159,0.43542841,773.784,204.558,978.342,0.790913607,0.209086393,21.178,10.841,10.337,0.511899141,0.488100859,162.798,71.697,234.495,0.694249344,0.305750656,Colombia,,,,-72.4438889,7.4252778,13.6,992,IAvH,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,6,49.201,29.124,20.077,0.591939188,0.408060812,833.801,389.856,1223.657,0.681400915,0.318599085,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Risaralda,Tatama,TA01,-76.080167,5.2231944,19.1,2636,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,6,33.487,14.558,18.929,0.434735868,0.565264132,521.916,328.436,850.352,0.613764653,0.386235347,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Risaralda,Tatama,TA13,-76.10866667,5.2537778,18,2837,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,6,27.467,11.548,15.919,0.420431791,0.579568209,333.699,221.669,555.368,0.600861051,0.399138949,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Risaralda,Tatama,TA13,-76.10866667,5.2537778,18,2837,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,6,30.158,17.575,12.583,0.582764109,0.417235891,483.105,117.398,600.503,0.80450056,0.19549944,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Risaralda,Tatama,TA13,-76.10866667,5.2537778,18,2837,Icesi,,"Breast, back and head"
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,26.451,13.547,12.904,0.51215455,0.48784545,217.825,122.711,340.536,0.63965337,0.36034663,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Zygia,,-76.66357994,3.445342173,17.8,2042,Icesi,,
Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,5,41.217,23.394,17.823,0.567581338,0.432418662,678.28,361.892,1040.172,0.652084463,0.347915537,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Chicoral,LM03,-76.58,3.56,19.1,1545,Icesi,,"Breast, back and head"
